QUESTIONS,question,answer
,Who was the first President of the United States?,George Washington
,What sport is known as Americas Past time?,Baseball
,What planet is closest to our Sun?,Mercury
,What is the biggest animal on our planet?,Blue Whale
,What kind of creature is Shrek?,Ogre
,What is the largest planet in our solar system?,Jupiter
,What is the largest country in the world by land area?,Russia
,What is the largest river in the world?,Nile
,Which organ has four chambers?,Heart
,What geometric shape is generally used for stop signs?,Octagon
